,3,4,5,6
44433,32562,2018-05-06 00:00:34,0,1
44435,32562,2018-05-06 00:01:35,0,1
44436,32562,2018-05-06 00:02:00,0,1
44438,32562,2018-05-06 00:03:05,0,1
44440,32562,2018-05-06 00:04:13,0,1
44442,32562,2018-05-06 00:05:17,0,1
44444,32562,2018-05-06 00:06:20,0,1
44446,32562,2018-05-06 00:07:41,0,1
44447,32562,2018-05-06 00:08:40,0,1
44449,32562,2018-05-06 00:09:43,0,1
44451,32562,2018-05-06 00:10:44,0,1
44453,32562,2018-05-06 00:11:45,0,1
44455,32562,2018-05-06 00:12:46,0,1
44456,32562,2018-05-06 00:13:02,0,1
44458,32562,2018-05-06 00:14:05,0,1
44460,32562,2018-05-06 00:15:10,0,1
44462,32562,2018-05-06 00:16:14,0,1
44464,32562,2018-05-06 00:17:19,0,1
44466,32562,2018-05-06 00:18:22,0,1
44468,32562,2018-05-06 00:19:53,0,1
44469,32562,2018-05-06 00:20:41,0,1
44471,32562,2018-05-06 00:21:45,0,1
44473,32562,2018-05-06 00:22:49,0,1
44475,32562,2018-05-06 00:23:54,0,1
44477,32562,2018-05-06 00:24:58,0,1
44479,32562,2018-05-06 00:25:59,0,1
44480,32562,2018-05-06 00:26:01,0,1
44481,32562,2018-05-06 00:27:00,0,1
44483,32562,2018-05-06 00:28:01,0,1
44485,32562,2018-05-06 00:29:02,0,1
44487,32562,2018-05-06 00:30:03,0,1
44489,32562,2018-05-06 00:31:04,0,1
44490,32562,2018-05-06 00:32:05,0,1
44492,32562,2018-05-06 00:33:06,0,1
44494,32562,2018-05-06 00:34:07,0,1
44496,32562,2018-05-06 00:35:08,0,1
44498,32562,2018-05-06 00:36:09,0,1
44499,32562,2018-05-06 00:37:10,0,1
44500,32562,2018-05-06 00:38:07,0,1
44502,32562,2018-05-06 00:39:11,0,1
44504,32562,2018-05-06 00:40:13,0,1
44506,32562,2018-05-06 00:41:14,0,1
44508,32562,2018-05-06 00:42:15,0,1
44510,32562,2018-05-06 00:43:16,0,1
44512,32562,2018-05-06 00:44:17,0,1
44513,32562,2018-05-06 00:45:18,0,1
44515,32562,2018-05-06 00:46:19,0,1
44517,32562,2018-05-06 00:47:20,0,1
44519,32562,2018-05-06 00:48:21,0,1
44520,32562,2018-05-06 00:49:02,0,1
44522,32562,2018-05-06 00:50:05,0,1
44524,32562,2018-05-06 00:51:09,0,1
44526,32562,2018-05-06 00:52:13,0,1
44531,32562,2018-05-06 00:53:16,0,1
44533,32562,2018-05-06 00:54:20,0,1
44535,32562,2018-05-06 00:55:23,0,1
44537,32562,2018-05-06 00:56:29,0,1
44538,32562,2018-05-06 00:57:30,0,1
44540,32562,2018-05-06 00:58:31,0,1
44542,32562,2018-05-06 00:59:32,0,1
44544,32562,2018-05-06 01:00:33,0,1
44546,32562,2018-05-06 01:01:34,0,1
44548,32562,2018-05-06 01:02:35,0,1
44549,32562,2018-05-06 01:03:01,0,1
44551,32562,2018-05-06 01:04:37,0,1
44552,32562,2018-05-06 01:05:11,0,1
44554,32562,2018-05-06 01:06:14,0,1
44556,32562,2018-05-06 01:07:18,0,1
44558,32562,2018-05-06 01:08:22,0,1
44560,32562,2018-05-06 01:09:42,0,1
44561,32562,2018-05-06 01:10:40,0,1
44563,32562,2018-05-06 01:11:44,0,1
44565,32562,2018-05-06 01:12:45,0,1
44567,32562,2018-05-06 01:13:46,0,1
44569,32562,2018-05-06 01:14:47,0,1
44571,32562,2018-05-06 01:15:48,0,1
44572,32562,2018-05-06 01:16:00,0,1
44574,32562,2018-05-06 01:17:04,0,1
44576,32562,2018-05-06 01:18:07,0,1
44578,32562,2018-05-06 01:19:12,0,1
44580,32562,2018-05-06 01:20:16,0,1
44582,32562,2018-05-06 01:21:20,0,1
44584,32562,2018-05-06 01:22:40,0,1
44586,32562,2018-05-06 01:23:45,0,1
44588,32562,2018-05-06 01:24:49,0,1
44590,32562,2018-05-06 01:25:52,0,1
44592,32562,2018-05-06 01:26:56,0,1
44594,32562,2018-05-06 01:28:00,0,1
44596,32562,2018-05-06 01:29:01,0,1
44598,32562,2018-05-06 01:30:02,0,1
44600,32562,2018-05-06 01:31:03,0,1
44602,32562,2018-05-06 01:32:04,0,1
44604,32562,2018-05-06 01:33:05,0,1
44605,32562,2018-05-06 01:34:06,0,1
44607,32562,2018-05-06 01:35:07,0,1
44609,32562,2018-05-06 01:36:08,0,1
44611,32562,2018-05-06 01:37:09,0,1
44613,32562,2018-05-06 01:38:10,0,1
44615,32562,2018-05-06 01:39:11,0,1
44616,32562,2018-05-06 01:40:00,0,1
44618,32562,2018-05-06 01:41:04,0,1
44620,32562,2018-05-06 01:42:07,0,1
44622,32562,2018-05-06 01:43:11,0,1
44624,32562,2018-05-06 01:44:15,0,1
44626,32562,2018-05-06 01:45:17,0,1
44627,32562,2018-05-06 01:46:18,0,1
44629,32562,2018-05-06 01:47:19,0,1
44631,32562,2018-05-06 01:48:20,0,1
44633,32562,2018-05-06 01:49:21,0,1
44635,32562,2018-05-06 01:50:22,0,1
44637,32562,2018-05-06 01:51:23,0,1
44639,32562,2018-05-06 01:52:24,0,1
44640,32562,2018-05-06 01:53:03,0,1
44642,32562,2018-05-06 01:54:07,0,1
44644,32562,2018-05-06 01:55:11,0,1
44646,32562,2018-05-06 01:56:14,0,1
44648,32562,2018-05-06 01:57:29,0,1
