,3
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47281,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47393,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47508,35054
47625,35054
47627,35054
47630,35054
47632,35054
47634,35054
47635,35054
47637,35054
47638,35054
47641,35054
47643,35054
47644,35054
47645,35054
47649,35054
47651,35054
47653,35054
47654,35054
47656,35054
47657,35054
47660,35054
47662,35054
47664,35054
47666,35054
47668,35054
47669,35054
47671,35054
47674,35054
47677,35054
47679,35054
47680,35054
47682,35054
47684,35054
47686,35054
47688,35054
47690,35054
47692,35054
47693,35054
47695,35054
47697,35054
47701,35054
47702,35054
47704,35054
47706,35054
47708,35054
47710,35054
47712,35054
47714,35054
47716,35054
47717,35054
47719,35054
47721,35054
47724,35054
47725,35054
47727,35054
47729,35054
47731,35054
47733,35054
47735,35054
47737,35054
47739,35054
47740,35054
47741,35054
47743,35054
47745,35054
47750,35054
47752,35054
47754,35054
47756,35054
47758,35054
47760,35054
47762,35054
47764,35054
47766,35054
47766,35054
47769,35054
47769,35054
47774,35054
47774,35054
47778,35054
47778,35054
47781,35054
47781,35054
47786,35054
47786,35054
47790,35054
47790,35054
47792,35054
47792,35054
47798,35054
47798,35054
47802,35054
47802,35054
47806,35054
47806,35054
47810,35054
47810,35054
47814,35054
47814,35054
47816,35054
47816,35054
47816,35054
47822,35054
47822,35054
47822,35054
47827,35054
47827,35054
47827,35054
47832,35054
47832,35054
47832,35054
47839,35054
47839,35054
47839,35054
47844,35054
47844,35054
47844,35054
47850,35054
47850,35054
47850,35054
47856,35054
47856,35054
47856,35054
47862,35054
47862,35054
47862,35054
47867,35054
47867,35054
47867,35054
47873,35054
47873,35054
47873,35054
47878,35054
47878,35054
47878,35054
47884,35054
47884,35054
47884,35054
47888,35054
47888,35054
47888,35054
47896,35054
47896,35054
47896,35054
47902,35054
47902,35054
47902,35054
47908,35054
47908,35054
47908,35054
47912,35054
47912,35054
47912,35054
47919,35054
47919,35054
47919,35054
47926,35054
47926,35054
47926,35054
47932,35054
47932,35054
47932,35054
47937,35054
47937,35054
47937,35054
47943,35054
47943,35054
47943,35054
47949,35054
47949,35054
47949,35054
47955,35054
47955,35054
47955,35054
47960,35054
47960,35054
47960,35054
47966,35054
47966,35054
47966,35054
47972,35054
47972,35054
47972,35054
47978,35054
47978,35054
47978,35054
47982,35054
47982,35054
47982,35054
47988,35054
47988,35054
47988,35054
47995,35054
47995,35054
47995,35054
48000,35054
48000,35054
48000,35054
48000,35054
48009,35054
48009,35054
48009,35054
48009,35054
48021,35057
48021,35057
48021,35057
48021,35057
48029,35061
48029,35061
48029,35061
48029,35061
48037,35063
48037,35063
48037,35063
48037,35063
48045,35065
48045,35065
48045,35065
48045,35065
48053,35065
48053,35065
48053,35065
48053,35065
48061,35065
48061,35065
48061,35065
48061,35065
48067,35065
48067,35065
48067,35065
48067,35065
48076,35065
48076,35065
48076,35065
48076,35065
48084,35065
48084,35065
48084,35065
48084,35065
48090,35065
48090,35065
48090,35065
48090,35065
48100,35065
48100,35065
48100,35065
48100,35065
48106,35065
48106,35065
48106,35065
48106,35065
48114,35065
48114,35065
48114,35065
48114,35065
48122,35065
48122,35065
48122,35065
48122,35065
48130,35069
48130,35069
48130,35069
48130,35069
48137,35075
48137,35075
48137,35075
48137,35075
48145,35082
48145,35082
48145,35082
48145,35082
48153,35090
48153,35090
48153,35090
48153,35090
48160,35099
48160,35099
48160,35099
48160,35099
48167,35108
48167,35108
48167,35108
48167,35108
48175,35117
48175,35117
48175,35117
48175,35117
48183,35128
48183,35128
48183,35128
48183,35128
48189,35141
48189,35141
48189,35141
48189,35141
48199,35151
48199,35151
48199,35151
48199,35151
48206,35165
48206,35165
48206,35165
48206,35165
48215,35180
48215,35180
48215,35180
48215,35180
48221,35188
48221,35188
48221,35188
48221,35188
48229,35198
48229,35198
48229,35198
48229,35198
48237,35205
48237,35205
48237,35205
48237,35205
48244,35211
48244,35211
48244,35211
48244,35211
48252,35214
48252,35214
48252,35214
48252,35214
48260,35217
48260,35217
48260,35217
48260,35217
48267,35219
48267,35219
48267,35219
48267,35219
48275,35222
48275,35222
48275,35222
48275,35222
48280,35224
48280,35224
48280,35224
48280,35224
48286,35225
48286,35225
48286,35225
48286,35225
48297,35229
48297,35229
48297,35229
48297,35229
48305,35231
48305,35231
48305,35231
48305,35231
48311,35234
48311,35234
48311,35234
48311,35234
48320,35236
48320,35236
48320,35236
48320,35236
48327,35236
48327,35236
48327,35236
48327,35236
48335,35236
48335,35236
48335,35236
48335,35236
