,3,4,5,6
3154,33122,2018-05-20 00:00:14,0,1
3157,33122,2018-05-20 00:01:41,0,1
3158,33122,2018-05-20 00:02:16,0,1
3160,33122,2018-05-20 00:03:19,0,1
3162,33122,2018-05-20 00:04:25,0,1
3164,33122,2018-05-20 00:05:30,0,1
3166,33122,2018-05-20 00:06:34,0,1
3168,33122,2018-05-20 00:07:38,0,1
3170,33122,2018-05-20 00:08:42,0,1
3172,33122,2018-05-20 00:09:46,0,1
3174,33122,2018-05-20 00:10:50,0,1
3176,33122,2018-05-20 00:11:51,0,1
3178,33122,2018-05-20 00:12:12,0,1
3181,33122,2018-05-20 00:13:53,0,1
3182,33122,2018-05-20 00:14:13,0,1
3184,33122,2018-05-20 00:15:17,0,1
3186,33122,2018-05-20 00:16:21,0,1
3188,33122,2018-05-20 00:17:24,0,1
3190,33122,2018-05-20 00:18:27,0,1
3192,33122,2018-05-20 00:19:31,0,1
3194,33122,2018-05-20 00:20:34,0,1
3195,33122,2018-05-20 00:21:00,0,1
3197,33122,2018-05-20 00:22:01,0,1
3199,33122,2018-05-20 00:23:02,0,1
3201,33122,2018-05-20 00:24:03,0,1
3204,33122,2018-05-20 00:25:04,0,1
3205,33122,2018-05-20 00:26:05,0,1
3207,33122,2018-05-20 00:27:06,0,1
3209,33122,2018-05-20 00:28:07,0,1
3211,33122,2018-05-20 00:29:08,0,1
3213,33122,2018-05-20 00:30:09,0,1
3215,33122,2018-05-20 00:31:10,0,1
3217,33122,2018-05-20 00:32:11,0,1
3219,33122,2018-05-20 00:33:12,0,1
3221,33122,2018-05-20 00:34:13,0,1
3223,33122,2018-05-20 00:35:14,0,1
3226,33122,2018-05-20 00:36:15,0,1
3228,33122,2018-05-20 00:37:16,0,1
3229,33122,2018-05-20 00:38:01,0,1
3231,33122,2018-05-20 00:39:05,0,1
3233,33122,2018-05-20 00:40:08,0,1
3235,33122,2018-05-20 00:41:12,0,1
3237,33122,2018-05-20 00:42:16,0,1
3239,33122,2018-05-20 00:43:19,0,1
3241,33122,2018-05-20 00:44:23,0,1
3243,33122,2018-05-20 00:45:24,0,1
3245,33122,2018-05-20 00:46:25,0,1
3247,33122,2018-05-20 00:47:26,0,1
3250,33122,2018-05-20 00:48:27,0,1
3252,33122,2018-05-20 00:49:28,0,1
3254,33122,2018-05-20 00:50:29,0,1
3256,33122,2018-05-20 00:51:30,0,1
3257,33122,2018-05-20 00:52:00,0,1
3259,33122,2018-05-20 00:53:06,0,1
3261,33122,2018-05-20 00:54:09,0,1
3263,33122,2018-05-20 00:55:13,0,1
3265,33122,2018-05-20 00:56:17,0,1
3267,33122,2018-05-20 00:57:20,0,1
3269,33122,2018-05-20 00:58:26,0,1
3271,33122,2018-05-20 00:59:29,0,1
3274,33122,2018-05-20 01:00:34,0,1
3276,33122,2018-05-20 01:01:40,0,1
3278,33122,2018-05-20 01:02:41,0,1
3280,33122,2018-05-20 01:03:42,0,1
3282,33122,2018-05-20 01:04:43,0,1
3283,33122,2018-05-20 01:05:01,0,1
3285,33122,2018-05-20 01:06:04,0,1
3287,33122,2018-05-20 01:07:08,0,1
3289,33122,2018-05-20 01:08:12,0,1
3291,33122,2018-05-20 01:09:16,0,1
3293,33122,2018-05-20 01:10:20,0,1
3295,33122,2018-05-20 01:11:23,0,1
3298,33122,2018-05-20 01:12:26,0,1
3300,33122,2018-05-20 01:13:42,0,1
3302,33122,2018-05-20 01:14:46,0,1
3304,33122,2018-05-20 01:15:51,0,1
3306,33122,2018-05-20 01:16:55,0,1
3308,33122,2018-05-20 01:17:56,0,1
3310,33122,2018-05-20 01:18:57,0,1
3311,33122,2018-05-20 01:19:03,0,1
3313,33122,2018-05-20 01:20:09,0,1
3315,33122,2018-05-20 01:21:13,0,1
3316,33122,2018-05-20 01:22:00,0,1
3318,33122,2018-05-20 01:23:01,0,1
3321,33122,2018-05-20 01:24:02,0,1
3323,33122,2018-05-20 01:25:03,0,1
3325,33122,2018-05-20 01:26:04,0,1
3327,33122,2018-05-20 01:27:05,0,1
3329,33122,2018-05-20 01:28:06,0,1
3331,33122,2018-05-20 01:29:07,0,1
3333,33122,2018-05-20 01:30:08,0,1
3334,33122,2018-05-20 01:31:02,0,1
3336,33122,2018-05-20 01:32:05,0,1
3338,33122,2018-05-20 01:33:09,0,1
3340,33122,2018-05-20 01:34:12,0,1
3342,33122,2018-05-20 01:35:13,0,1
3345,33122,2018-05-20 01:36:14,0,1
3347,33122,2018-05-20 01:37:15,0,1
3349,33122,2018-05-20 01:38:16,0,1
3351,33122,2018-05-20 01:39:17,0,1
3353,33122,2018-05-20 01:40:18,0,1
3355,33122,2018-05-20 01:41:19,0,1
3357,33122,2018-05-20 01:42:20,0,1
3359,33122,2018-05-20 01:43:21,0,1
3361,33122,2018-05-20 01:44:22,0,1
3362,33122,2018-05-20 01:45:01,0,1
3364,33122,2018-05-20 01:46:04,0,1
3366,33122,2018-05-20 01:47:08,0,1
3369,33122,2018-05-20 01:48:12,0,1
3371,33122,2018-05-20 01:49:27,0,1
3373,33122,2018-05-20 01:50:28,0,1
3375,33122,2018-05-20 01:51:29,0,1
3377,33122,2018-05-20 01:52:30,0,1
3379,33122,2018-05-20 01:53:31,0,1
3381,33122,2018-05-20 01:54:32,0,1
3383,33122,2018-05-20 01:55:33,0,1
3385,33122,2018-05-20 01:56:34,0,1
3387,33122,2018-05-20 01:57:35,0,1
3389,33122,2018-05-20 01:58:36,0,1
3390,33122,2018-05-20 01:59:00,0,1
3393,33122,2018-05-20 02:00:04,0,1
3395,33122,2018-05-20 02:01:21,0,1
3397,33122,2018-05-20 02:02:24,0,1
3399,33122,2018-05-20 02:03:28,0,1
3401,33122,2018-05-20 02:04:31,0,1
3403,33122,2018-05-20 02:05:35,0,1
3405,33122,2018-05-20 02:06:38,0,1
3407,33122,2018-05-20 02:07:42,0,1
3409,33122,2018-05-20 02:08:46,0,1
3411,33122,2018-05-20 02:09:47,0,1
3413,33122,2018-05-20 02:10:48,0,1
3415,33122,2018-05-20 02:11:10,0,1
3418,33122,2018-05-20 02:12:50,0,1
3419,33122,2018-05-20 02:13:13,0,1
3421,33122,2018-05-20 02:14:16,0,1
3423,33122,2018-05-20 02:15:20,0,1
3425,33122,2018-05-20 02:16:23,0,1
3427,33122,2018-05-20 02:17:27,0,1
3429,33122,2018-05-20 02:18:31,0,1
3431,33122,2018-05-20 02:19:37,0,1
3433,33122,2018-05-20 02:20:41,0,1
3435,33122,2018-05-20 02:21:44,0,1
3437,33122,2018-05-20 02:22:48,0,1
3438,33122,2018-05-20 02:23:00,0,1
3441,33122,2018-05-20 02:24:01,0,1
3442,33122,2018-05-20 02:25:02,0,1
3444,33122,2018-05-20 02:26:03,0,1
3446,33122,2018-05-20 02:27:04,0,1
3448,33122,2018-05-20 02:28:05,0,1
3450,33122,2018-05-20 02:29:06,0,1
3452,33122,2018-05-20 02:30:07,0,1
3454,33122,2018-05-20 02:31:08,0,1
3456,33122,2018-05-20 02:32:09,0,1
3458,33122,2018-05-20 02:33:10,0,1
3460,33122,2018-05-20 02:34:11,0,1
3462,33122,2018-05-20 02:35:02,0,1
3465,33122,2018-05-20 02:36:13,0,1
3466,33122,2018-05-20 02:37:05,0,1
3468,33122,2018-05-20 02:38:09,0,1
3470,33122,2018-05-20 02:39:12,0,1
3472,33122,2018-05-20 02:40:16,0,1
3474,33122,2018-05-20 02:41:18,0,1
3476,33122,2018-05-20 02:42:19,0,1
3478,33122,2018-05-20 02:43:20,0,1
3480,33122,2018-05-20 02:44:21,0,1
3482,33122,2018-05-20 02:45:22,0,1
3484,33122,2018-05-20 02:46:23,0,1
3487,33122,2018-05-20 02:47:24,0,1
3489,33122,2018-05-20 02:48:25,0,1
3491,33122,2018-05-20 02:49:26,0,1
3492,33122,2018-05-20 02:50:02,0,1
3494,33122,2018-05-20 02:51:06,0,1
3496,33122,2018-05-20 02:52:10,0,1
3498,33122,2018-05-20 02:53:15,0,1
3500,33122,2018-05-20 02:54:18,0,1
3502,33122,2018-05-20 02:55:22,0,1
3504,33122,2018-05-20 02:56:26,0,1
3506,33122,2018-05-20 02:57:30,0,1
3508,33122,2018-05-20 02:58:34,0,1
3511,33122,2018-05-20 02:59:36,0,1
3513,33122,2018-05-20 03:00:37,0,1
3515,33122,2018-05-20 03:01:38,0,1
3517,33122,2018-05-20 03:03:05,0,1
3518,33122,2018-05-20 03:04:13,0,1
3519,33122,2018-05-20 03:05:18,0,1
3521,33122,2018-05-20 03:06:22,0,1
3523,33122,2018-05-20 03:07:26,0,1
3525,33122,2018-05-20 03:08:30,0,1
3527,33122,2018-05-20 03:09:34,0,1
3529,33122,2018-05-20 03:10:38,0,1
3532,33122,2018-05-20 03:11:42,0,1
