,AMR,Capacity,HM,PLC,Site
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
0,33122,40.0,00:00:14,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
120,33122,40.0,01:00:34,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
239,33122,40.0,02:00:04,CC-C8-1E,PNB_TVL_OHSR_01
