,AMR
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
0,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
114,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
228,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
342,37457
455,37457
457,37457
460,37457
462,37457
464,37457
466,37457
468,37457
470,37457
472,37457
474,37457
475,37457
477,37457
478,37457
480,37457
483,37457
485,37457
487,37457
489,37457
491,37457
493,37457
495,37457
497,37457
499,37457
500,37457
501,37457
503,37457
507,37457
509,37457
511,37457
513,37457
515,37457
517,37457
519,37457
521,37457
522,37457
524,37457
525,37457
527,37457
530,37457
532,37457
534,37457
536,37457
538,37457
540,37457
542,37457
544,37457
545,37457
547,37457
548,37457
550,37457
553,37457
555,37457
557,37457
559,37457
561,37457
563,37457
564,37457
566,37457
568,37457
569,37457
570,37457
572,37457
575,37457
577,37457
579,37457
581,37457
583,37457
585,37457
587,37457
589,37457
591,37457
592,37457
593,37457
595,37457
598,37457
600,37457
602,37457
604,37457
605,37457
607,37457
609,37457
611,37457
613,37457
615,37457
617,37457
619,37457
621,37457
624,37457
627,37457
629,37457
630,37457
632,37457
634,37457
636,37457
638,37457
639,37457
641,37457
644,37457
645,37457
647,37457
649,37457
652,37457
653,37457
655,37457
657,37457
659,37457
661,37457
663,37457
665,37457
667,37457
668,37457
670,37457
672,37457
675,37457
676,37457
678,37457
680,37457
681,37457
683,37457
685,37457
687,37457
689,37457
690,37457
692,37457
693,37457
697,37457
699,37457
701,37457
703,37457
705,37457
707,37457
709,37457
711,37457
713,37457
714,37457
715,37457
717,37457
720,37457
722,37457
724,37457
726,37457
728,37457
730,37457
732,37457
734,37457
736,37457
737,37457
738,37457
740,37457
743,37457
745,37457
747,37457
748,37457
749,37457
752,37457
755,37457
756,37457
758,37457
760,37457
763,37457
764,37457
766,37457
767,37457
769,37457
772,37457
774,37457
776,37457
778,37457
780,37457
782,37457
784,37457
786,37457
788,37457
789,37457
790,37457
792,37457
796,37457
798,37457
799,37457
801,37457
803,37457
805,37457
807,37457
808,37457
809,37457
811,37457
814,37457
815,37457
817,37457
820,37457
822,37457
824,37457
826,37457
827,37457
829,37457
831,37457
833,37457
835,37457
837,37457
839,37457
840,37457
842,37457
844,37457
846,37457
848,37457
851,37457
853,37457
855,37457
856,37457
858,37457
860,37457
862,37457
864,37457
865,37457
867,37457
870,37457
873,37457
875,37457
877,37457
878,37457
880,37457
882,37457
883,37457
885,37457
888,37457
888,37457
888,37457
893,37457
893,37457
893,37457
899,37457
899,37457
899,37457
905,37457
905,37457
905,37457
911,37457
911,37457
911,37457
917,37457
917,37457
917,37457
922,37457
922,37457
922,37457
928,37457
928,37457
928,37457
933,37457
933,37457
933,37457
939,37457
939,37457
939,37457
944,37457
944,37457
944,37457
950,37457
950,37457
950,37457
956,37457
956,37457
956,37457
961,37457
961,37457
961,37457
968,37457
968,37457
968,37457
973,37457
973,37457
973,37457
979,37457
979,37457
979,37457
984,37457
984,37457
984,37457
992,37457
992,37457
992,37457
997,37457
997,37457
997,37457
1003,37457
1003,37457
1003,37457
1008,37457
1008,37457
1008,37457
1015,37457
1015,37457
1015,37457
1020,37457
1020,37457
1020,37457
1026,37457
1026,37457
1026,37457
1031,37457
1031,37457
1031,37457
1035,37457
1035,37457
1035,37457
1042,37457
1042,37457
1042,37457
1049,37457
1049,37457
1049,37457
1055,37457
1055,37457
1055,37457
1060,37457
1060,37457
1060,37457
1069,37457
1069,37457
1069,37457
1074,37457
1074,37457
1074,37457
1081,37457
1081,37457
1081,37457
1086,37457
1086,37457
1086,37457
1093,37457
1093,37457
1093,37457
1099,37457
1099,37457
1099,37457
1105,37457
1105,37457
1105,37457
1110,37457
