,AMR,Capacity,HM,PLC,Site
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
0,33599,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
