,3
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45547,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45658,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45768,33053
45877,33053
45877,33053
45881,33053
45881,33053
45885,33053
45885,33053
45888,33053
45888,33053
45891,33053
45891,33053
45895,33053
45895,33053
45899,33053
45899,33053
45902,33053
45902,33053
45906,33053
45906,33053
45910,33053
45910,33053
45914,33053
45914,33053
45918,33053
45918,33053
45918,33053
45923,33053
45923,33053
45923,33053
45929,33053
45929,33053
45929,33053
45935,33053
45935,33053
45935,33053
45939,33053
45939,33053
45939,33053
45945,33053
45945,33053
45945,33053
45950,33053
45950,33053
45950,33053
45956,33053
45956,33053
45956,33053
45961,33053
45961,33053
45961,33053
45967,33053
45967,33053
45967,33053
45973,33053
45973,33053
45973,33053
45978,33053
45978,33053
45978,33053
45983,33053
45983,33053
45983,33053
45989,33053
45989,33053
45989,33053
45995,33053
45995,33053
45995,33053
46000,33053
46000,33053
46000,33053
46005,33053
46005,33053
46005,33053
46011,33053
46011,33053
46011,33053
46017,33053
46017,33053
46017,33053
46022,33053
46022,33053
46022,33053
46028,33053
46028,33053
46028,33053
46028,33053
46036,33053
46036,33053
46036,33053
46036,33053
46043,33053
46043,33053
46043,33053
46043,33053
46050,33053
46050,33053
46050,33053
46050,33053
46058,33053
46058,33053
46058,33053
46058,33053
46064,33053
46064,33053
46064,33053
46064,33053
46071,33053
46071,33053
46071,33053
46071,33053
46081,33053
46081,33053
46081,33053
46081,33053
46088,33053
46088,33053
46088,33053
46088,33053
46095,33053
46095,33053
46095,33053
46095,33053
46103,33053
