,3,4,5,6
3001,27785,2018-05-05 00:00:09,0,1
3003,27785,2018-05-05 00:01:14,0,1
3005,27785,2018-05-05 00:02:18,0,1
3007,27785,2018-05-05 00:03:19,0,1
3009,27785,2018-05-05 00:04:20,0,1
3011,27785,2018-05-05 00:05:21,0,1
3013,27785,2018-05-05 00:06:22,0,1
3015,27785,2018-05-05 00:07:23,0,1
3017,27785,2018-05-05 00:08:24,0,1
3019,27785,2018-05-05 00:09:25,0,1
3021,27785,2018-05-05 00:10:26,0,1
3022,27785,2018-05-05 00:11:03,0,1
3024,27785,2018-05-05 00:12:08,0,1
3026,27785,2018-05-05 00:13:12,0,1
3028,27785,2018-05-05 00:14:17,0,1
3030,27785,2018-05-05 00:15:21,0,1
3032,27785,2018-05-05 00:16:25,0,1
3034,27785,2018-05-05 00:17:33,0,1
3036,27785,2018-05-05 00:18:34,0,1
3038,27785,2018-05-05 00:19:35,0,1
3040,27785,2018-05-05 00:20:36,0,1
3042,27785,2018-05-05 00:21:37,0,1
3044,27785,2018-05-05 00:22:38,0,1
3045,27785,2018-05-05 00:23:03,0,1
3047,27785,2018-05-05 00:24:07,0,1
3049,27785,2018-05-05 00:25:12,0,1
3051,27785,2018-05-05 00:26:16,0,1
3053,27785,2018-05-05 00:27:20,0,1
3055,27785,2018-05-05 00:28:23,0,1
3057,27785,2018-05-05 00:29:39,0,1
3059,27785,2018-05-05 00:30:43,0,1
3061,27785,2018-05-05 00:31:47,0,1
3063,27785,2018-05-05 00:32:48,0,1
3065,27785,2018-05-05 00:33:49,0,1
3067,27785,2018-05-05 00:34:50,0,1
3069,27785,2018-05-05 00:35:51,0,1
3070,27785,2018-05-05 00:36:03,0,1
3072,27785,2018-05-05 00:37:07,0,1
3074,27785,2018-05-05 00:38:12,0,1
3076,27785,2018-05-05 00:39:16,0,1
3078,27785,2018-05-05 00:40:19,0,1
3080,27785,2018-05-05 00:41:35,0,1
3082,27785,2018-05-05 00:42:39,0,1
3084,27785,2018-05-05 00:43:43,0,1
3086,27785,2018-05-05 00:44:48,0,1
3087,27785,2018-05-05 00:45:00,0,1
3089,27785,2018-05-05 00:46:01,0,1
3091,27785,2018-05-05 00:47:02,0,1
3092,27785,2018-05-05 00:48:02,0,1
3094,27785,2018-05-05 00:49:04,0,1
3096,27785,2018-05-05 00:50:05,0,1
3098,27785,2018-05-05 00:51:06,0,1
3100,27785,2018-05-05 00:52:07,0,1
3102,27785,2018-05-05 00:53:08,0,1
3104,27785,2018-05-05 00:54:09,0,1
3106,27785,2018-05-05 00:55:10,0,1
3108,27785,2018-05-05 00:56:11,0,1
3110,27785,2018-05-05 00:57:12,0,1
3112,27785,2018-05-05 00:58:13,0,1
3114,27785,2018-05-05 00:59:14,0,1
3116,27785,2018-05-05 01:00:15,0,1
3117,27785,2018-05-05 01:01:02,0,1
3119,27785,2018-05-05 01:02:06,0,1
3121,27785,2018-05-05 01:03:10,0,1
3123,27785,2018-05-05 01:04:14,0,1
3125,27785,2018-05-05 01:05:19,0,1
