,AMR
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
0,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
119,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
240,34001
358,34001
360,34001
362,34001
363,34001
364,34001
366,34001
369,34001
371,34001
373,34001
375,34001
377,34001
379,34001
381,34001
382,34001
384,34001
386,34001
388,34001
390,34001
393,34001
395,34001
397,34001
399,34001
401,34001
402,34001
404,34001
406,34001
408,34001
410,34001
412,34001
414,34001
417,34001
419,34001
421,34001
423,34001
425,34001
427,34001
428,34001
430,34001
432,34001
434,34001
436,34001
438,34001
441,34001
443,34001
445,34001
447,34001
449,34001
451,34001
452,34001
454,34001
456,34001
458,34001
460,34001
462,34001
465,34001
467,34001
469,34001
471,34001
473,34001
475,34001
477,34001
479,34001
480,34001
482,34001
484,34001
485,34001
488,34001
490,34001
492,34001
494,34001
496,34001
498,34001
500,34001
502,34001
504,34001
505,34001
507,34001
509,34001
512,34001
514,34001
516,34001
518,34001
520,34001
522,34001
524,34001
526,34001
528,34001
530,34001
531,34001
533,34001
536,34001
538,34001
540,34001
542,34001
544,34001
546,34001
548,34001
550,34001
552,34001
554,34001
556,34001
557,34001
560,34001
562,34001
564,34001
566,34001
568,34001
570,34001
572,34001
574,34001
576,34001
578,34001
580,34001
581,34001
584,34001
586,34001
588,34001
590,34001
592,34001
594,34001
596,34001
598,34001
600,34001
602,34001
604,34001
606,34001
607,34001
609,34001
611,34001
613,34001
615,34001
617,34001
619,34001
621,34001
623,34001
625,34001
627,34001
629,34001
632,34001
633,34001
635,34001
637,34001
639,34001
641,34001
643,34001
645,34001
647,34001
649,34001
651,34001
653,34001
656,34001
657,34001
659,34001
661,34001
663,34001
665,34001
667,34001
669,34001
671,34001
673,34001
675,34001
677,34001
680,34001
681,34001
683,34001
685,34001
687,34001
689,34001
691,34001
693,34001
695,34001
697,34001
699,34001
701,34001
704,34001
705,34001
707,34001
709,34001
711,34001
713,34001
715,34001
717,34001
719,34001
721,34001
723,34001
726,34001
728,34001
730,34001
730,34001
734,34001
734,34001
738,34001
738,34001
742,34001
742,34001
746,34001
746,34001
751,34001
751,34001
755,34001
755,34001
758,34001
758,34001
762,34001
762,34001
766,34001
766,34001
770,34001
770,34001
775,34001
775,34001
779,34001
779,34001
782,34001
782,34001
786,34001
786,34001
790,34001
790,34001
794,34001
794,34001
796,34001
796,34001
798,34001
798,34001
802,34001
802,34001
806,34001
806,34001
810,34001
810,34001
814,34001
814,34001
819,34001
819,34001
822,34001
822,34001
826,34001
826,34001
830,34001
830,34001
834,34001
834,34001
838,34001
838,34001
843,34001
843,34001
847,34001
847,34001
849,34001
849,34001
853,34001
853,34001
857,34001
857,34001
861,34001
861,34001
866,34001
866,34001
870,34001
870,34001
874,34001
874,34001
876,34001
876,34001
880,34001
880,34001
884,34001
884,34001
889,34001
889,34001
893,34001
893,34001
896,34001
896,34001
900,34001
900,34001
904,34001
904,34001
908,34001
908,34001
913,34001
913,34001
917,34001
917,34001
920,34001
920,34001
924,34001
924,34001
928,34001
928,34001
932,34001
932,34001
937,34001
937,34001
941,34001
941,34001
945,34001
945,34001
948,34001
948,34001
952,34001
952,34001
956,34001
956,34001
961,34001
961,34001
965,34001
965,34001
968,34001
968,34001
971,34001
971,34001
975,34001
975,34001
979,34001
979,34001
984,34001
984,34001
988,34001
988,34001
992,34001
992,34001
996,34001
996,34001
1000,34001
1000,34001
1003,34001
1003,34001
1008,34001
1008,34001
1012,34001
1012,34001
1016,34001
1016,34001
1020,34001
1020,34001
1024,34001
1024,34001
1027,34001
1027,34001
1032,34001
1032,34001
1036,34001
1036,34001
1040,34001
1040,34001
1044,34001
1044,34001
1048,34001
1048,34001
1052,34001
1052,34001
1056,34001
1056,34001
1060,34001
1060,34001
1064,34001
1064,34001
1068,34001
1068,34001
1072,34001
1072,34001
1076,34001
1076,34001
1080,34001
1080,34001
1084,34001
1084,34001
1088,34001
1088,34001
1091,34001
1091,34001
1095,34001
1095,34001
1099,34001
1099,34001
1103,34001
1103,34001
1107,34001
1107,34001
1111,34001
1111,34001
1114,34001
1114,34001
1117,34001
1117,34001
1121,34001
1121,34001
1124,34001
1124,34001
1124,34001
1124,34001
1131,34001
1131,34001
1131,34001
1131,34001
1137,34001
1137,34001
1137,34001
1137,34001
1137,34001
1137,34001
1137,34001
1137,34001
1152,34001
1152,34001
1152,34001
1152,34001
1152,34001
1152,34001
1152,34001
1152,34001
1152,34001
1169,34001
1169,34001
1169,34001
1169,34001
1169,34001
1169,34001
1169,34001
1169,34001
1169,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1185,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1203,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1223,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1246,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1274,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1301,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1328,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1356,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1383,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1415,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1448,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1482,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1514,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1547,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1583,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1618,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1661,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1703,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1749,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1793,34001
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1843,34024
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1888,34051
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1934,34081
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
1979,34117
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2025,34161
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2071,34176
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2115,34209
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2158,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2204,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
2249,34212
