,Time
0,00:00:06
1,00:01:00
2,00:02:00
3,00:03:00
4,00:04:00
5,00:05:00
6,00:06:00
7,00:07:00
8,00:08:00
9,00:09:00
10,00:10:00
11,00:11:00
12,00:12:00
13,00:13:00
14,00:14:00
15,00:15:00
16,00:16:00
17,00:17:00
18,00:18:00
19,00:19:00
20,00:20:00
21,00:21:00
22,00:22:00
23,00:23:00
24,00:24:00
25,00:25:00
26,00:26:00
27,00:27:00
28,00:28:00
29,00:29:00
30,00:30:00
31,00:31:00
32,00:32:00
33,00:33:00
34,00:34:00
35,00:35:00
36,00:36:00
37,00:37:00
38,00:38:00
39,00:39:00
40,00:40:00
41,00:41:00
42,00:42:00
43,00:43:00
44,00:44:00
45,00:45:00
46,00:46:00
47,00:47:00
48,00:48:00
49,00:49:00
50,00:50:00
51,00:51:00
52,00:52:00
53,00:53:00
54,00:54:00
55,00:55:00
56,00:56:00
57,00:57:00
58,00:58:00
59,00:59:00
60,01:00:05
61,01:01:00
62,01:02:00
63,01:03:00
64,01:04:00
65,01:05:00
66,01:06:00
67,01:07:00
68,01:08:00
69,01:09:00
70,01:10:00
71,01:11:00
72,01:12:00
73,01:13:00
74,01:14:00
75,01:15:00
76,01:16:00
77,01:17:00
78,01:18:00
79,01:19:00
80,01:20:00
81,01:21:00
82,01:22:00
83,01:23:00
84,01:24:00
85,01:25:00
86,01:26:00
87,01:27:00
88,01:28:00
89,01:29:00
90,01:30:00
91,01:31:00
92,01:32:00
93,01:33:00
94,01:34:00
95,01:35:00
96,01:36:00
97,01:37:00
98,01:38:00
99,01:39:00
100,01:40:00
101,01:41:00
102,01:42:00
103,01:43:00
104,01:44:00
105,01:45:00
106,01:46:00
107,01:47:00
108,01:48:00
109,01:49:00
110,01:50:00
111,01:51:00
112,01:52:00
113,01:53:00
114,01:54:00
115,01:55:00
116,01:56:00
117,01:57:00
118,01:58:00
119,01:59:00
120,02:01:05
121,02:02:06
122,02:03:07
123,02:04:08
124,02:05:09
125,02:06:10
126,02:07:11
127,02:08:01
128,02:09:05
129,02:10:09
130,02:11:14
131,02:12:16
132,02:13:17
133,02:14:18
134,02:15:19
135,02:16:20
136,02:17:21
137,02:18:22
138,02:19:23
139,02:20:03
140,02:21:09
141,02:22:13
142,02:23:18
143,02:24:24
144,02:25:28
145,02:26:30
146,02:27:31
147,02:28:32
148,02:29:07
149,02:30:34
150,02:31:35
151,02:32:22
152,02:33:37
153,02:34:16
154,02:35:21
155,02:36:26
156,02:37:30
157,02:38:34
158,02:39:40
159,02:40:44
160,02:41:45
161,02:42:46
162,02:43:47
163,02:44:48
164,02:45:49
165,02:46:16
166,02:47:19
167,02:48:24
168,02:49:29
169,02:50:33
170,02:51:37
171,02:52:41
172,02:53:46
173,02:54:50
174,02:55:54
175,02:57:00
176,02:56:00
177,02:59:02
178,02:58:00
179,03:01:04
180,03:01:55
181,03:03:06
182,03:03:59
183,03:05:08
184,03:05:00
185,03:07:10
186,03:07:02
187,03:09:03
188,03:09:04
189,03:11:14
190,03:11:06
191,03:13:16
192,03:13:08
193,03:15:18
194,03:15:05
195,03:17:20
196,03:17:12
197,03:19:02
198,03:19:14
199,03:21:11
200,03:21:16
201,03:23:26
202,03:23:18
203,03:25:55
204,03:25:07
205,03:27:00
206,03:27:15
207,03:29:10
208,03:29:22
209,03:31:21
210,03:31:26
211,03:33:31
212,03:33:28
213,03:35:38
214,03:35:30
215,03:37:39
216,03:37:02
217,03:39:05
218,03:39:09
219,03:41:13
220,03:41:18
221,03:43:21
222,03:43:25
223,03:45:30
224,03:45:40
225,03:47:49
226,03:47:42
227,03:49:51
228,03:49:00
229,03:51:04
230,03:51:08
231,03:53:13
232,03:53:15
233,03:55:20
234,03:55:22
235,03:57:28
236,03:57:43
237,03:59:00
238,03:59:51
239,04:01:02
240,04:01:56
241,04:03:04
242,04:03:02
243,04:05:06
244,04:05:10
245,04:07:08
246,04:07:01
247,04:09:10
248,04:09:03
249,04:11:12
250,04:11:05
251,04:13:14
252,04:13:07
253,04:15:11
254,04:15:09
255,04:17:18
256,04:17:06
257,04:19:20
258,04:19:13
259,04:21:22
260,04:21:15
261,04:23:24
262,04:23:17
263,04:25:26
264,04:25:19
265,04:27:18
266,04:27:21
267,04:29:26
268,04:29:01
269,04:31:32
270,04:31:09
271,04:33:34
272,04:33:27
273,04:35:36
274,04:35:29
275,04:37:38
276,04:37:31
277,04:39:30
278,04:39:33
279,04:41:30
280,04:41:35
281,04:43:38
282,04:43:06
283,04:45:46
284,04:45:27
285,04:47:48
286,04:47:35
287,04:49:01
288,04:49:43
289,04:51:52
290,04:51:45
291,04:53:28
292,04:53:47
293,04:55:37
294,04:55:05
295,04:57:45
296,04:57:25
297,04:59:53
298,04:59:32
299,05:01:01
300,05:01:41
301,05:03:03
302,05:03:50
303,05:05:05
304,05:05:58
305,05:07:07
306,05:07:00
307,05:09:09
308,05:09:02
309,05:11:11
310,05:11:04
311,05:13:13
312,05:13:06
313,05:15:15
314,05:15:08
315,05:17:17
316,05:17:10
317,05:19:19
318,05:19:12
319,05:21:21
320,05:21:14
321,05:23:23
322,05:23:16
323,05:25:25
324,05:25:18
325,05:27:27
326,05:27:20
327,05:29:29
328,05:29:22
329,05:31:31
330,05:31:24
331,05:33:33
332,05:33:14
333,05:35:35
334,05:35:22
335,05:37:02
336,05:37:30
337,05:39:39
338,05:39:32
339,05:41:35
340,05:41:34
341,05:43:43
342,05:43:36
343,05:45:45
344,05:45:11
345,05:47:47
346,05:47:18
347,05:49:04
348,05:49:26
349,05:51:51
350,05:51:34
351,05:53:41
352,05:53:42
353,05:55:55
354,05:55:48
355,05:57:57
356,05:57:06
357,05:59:04
358,05:59:14
359,06:01:00
360,06:01:21
361,06:03:02
362,06:03:29
363,06:05:04
364,06:05:37
365,06:07:06
366,06:07:57
367,06:09:02
368,06:08:00
369,06:11:10
370,06:10:00
371,06:13:12
372,06:12:00
373,06:15:14
374,06:14:00
375,06:17:16
376,06:16:00
377,06:19:18
378,06:18:00
379,06:21:03
380,06:20:00
381,06:23:11
382,06:22:00
383,06:25:20
384,06:24:00
385,06:27:26
386,06:26:00
387,06:29:28
388,06:28:00
389,06:31:15
390,06:30:00
391,06:33:01
392,06:32:00
393,06:35:08
394,06:34:00
395,06:37:19
396,06:36:00
397,06:39:27
398,06:38:00
399,06:41:35
400,06:40:00
401,06:43:42
402,06:42:00
403,06:45:00
404,06:44:00
405,06:47:08
406,06:46:00
407,06:49:16
408,06:48:00
409,06:51:26
410,06:50:00
411,06:53:34
412,06:52:00
413,06:55:54
414,06:54:00
415,06:57:56
416,06:56:00
417,06:59:09
418,06:58:00
419,07:01:17
420,07:00:00
421,07:03:01
422,07:02:00
423,07:05:03
424,07:04:00
425,07:07:05
426,07:06:00
427,07:09:07
428,07:08:00
429,07:11:09
430,07:10:00
431,07:13:11
432,07:12:00
433,07:15:13
434,07:14:00
435,07:17:15
436,07:16:00
437,07:19:17
438,07:18:00
439,07:21:19
440,07:20:00
441,07:23:25
442,07:22:00
