,AMR,Opened,Closed,Timestamp,Time,Capacity,HM,PLC,Site
0,33599,0,1,2018-05-21 00:00:20,00:00:20,40.0,00:00:20,CC-C8-1E,PNB_TVL_OHSR_01
2,33599,0,1,2018-05-21 00:01:24,00:01:24,40.0,00:01:24,CC-C8-1E,PNB_TVL_OHSR_01
4,33599,0,1,2018-05-21 00:02:28,00:02:28,40.0,00:02:28,CC-C8-1E,PNB_TVL_OHSR_01
6,33599,0,1,2018-05-21 00:03:32,00:03:32,40.0,00:03:32,CC-C8-1E,PNB_TVL_OHSR_01
8,33599,0,1,2018-05-21 00:04:36,00:04:36,40.0,00:04:36,CC-C8-1E,PNB_TVL_OHSR_01
10,33599,0,1,2018-05-21 00:05:40,00:05:40,40.0,00:05:40,CC-C8-1E,PNB_TVL_OHSR_01
12,33599,0,1,2018-05-21 00:06:43,00:06:43,40.0,00:06:43,CC-C8-1E,PNB_TVL_OHSR_01
14,33599,0,1,2018-05-21 00:07:02,00:07:02,40.0,00:07:02,CC-C8-1E,PNB_TVL_OHSR_01
17,33599,0,1,2018-05-21 00:08:57,00:08:57,40.0,00:08:57,CC-C8-1E,PNB_TVL_OHSR_01
18,33599,0,1,2018-05-21 00:09:03,00:09:03,40.0,00:09:03,CC-C8-1E,PNB_TVL_OHSR_01
20,33599,0,1,2018-05-21 00:10:07,00:10:07,40.0,00:10:07,CC-C8-1E,PNB_TVL_OHSR_01
22,33599,0,1,2018-05-21 00:11:11,00:11:11,40.0,00:11:11,CC-C8-1E,PNB_TVL_OHSR_01
23,33599,0,1,2018-05-21 00:12:00,00:12:00,40.0,00:12:00,CC-C8-1E,PNB_TVL_OHSR_01
25,33599,0,1,2018-05-21 00:13:01,00:13:01,40.0,00:13:01,CC-C8-1E,PNB_TVL_OHSR_01
27,33599,0,1,2018-05-21 00:14:02,00:14:02,40.0,00:14:02,CC-C8-1E,PNB_TVL_OHSR_01
29,33599,0,1,2018-05-21 00:15:03,00:15:03,40.0,00:15:03,CC-C8-1E,PNB_TVL_OHSR_01
31,33599,0,1,2018-05-21 00:16:04,00:16:04,40.0,00:16:04,CC-C8-1E,PNB_TVL_OHSR_01
33,33599,0,1,2018-05-21 00:17:05,00:17:05,40.0,00:17:05,CC-C8-1E,PNB_TVL_OHSR_01
35,33599,0,1,2018-05-21 00:18:06,00:18:06,40.0,00:18:06,CC-C8-1E,PNB_TVL_OHSR_01
38,33599,0,1,2018-05-21 00:19:07,00:19:07,40.0,00:19:07,CC-C8-1E,PNB_TVL_OHSR_01
