,AMR
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
0,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
113,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
228,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
342,37857
457,37857
457,37857
460,37857
460,37857
464,37857
464,37857
468,37857
468,37857
472,37857
472,37857
476,37857
476,37857
479,37857
479,37857
482,37857
482,37857
487,37857
487,37857
491,37857
491,37857
495,37857
495,37857
499,37857
499,37857
502,37857
502,37857
504,37857
504,37857
509,37857
509,37857
513,37857
513,37857
517,37857
517,37857
521,37857
521,37857
525,37857
525,37857
527,37857
527,37857
532,37857
532,37857
536,37857
536,37857
540,37857
540,37857
544,37857
544,37857
548,37857
548,37857
550,37857
550,37857
556,37857
556,37857
560,37857
560,37857
564,37857
564,37857
568,37857
568,37857
572,37857
572,37857
574,37857
574,37857
580,37857
580,37857
583,37857
583,37857
587,37857
587,37857
591,37857
591,37857
595,37857
595,37857
597,37857
597,37857
601,37857
601,37857
606,37857
606,37857
610,37857
610,37857
614,37857
614,37857
618,37857
618,37857
621,37857
621,37857
624,37857
624,37857
629,37857
629,37857
633,37857
633,37857
637,37857
637,37857
640,37857
640,37857
644,37857
644,37857
647,37857
647,37857
652,37857
652,37857
656,37857
656,37857
660,37857
660,37857
664,37857
664,37857
668,37857
668,37857
670,37857
670,37857
675,37857
675,37857
679,37857
679,37857
683,37857
683,37857
687,37857
687,37857
691,37857
691,37857
693,37857
693,37857
699,37857
699,37857
702,37857
702,37857
706,37857
706,37857
710,37857
710,37857
714,37857
714,37857
716,37857
716,37857
721,37857
721,37857
724,37857
724,37857
729,37857
729,37857
733,37857
733,37857
737,37857
737,37857
740,37857
740,37857
743,37857
743,37857
748,37857
748,37857
752,37857
752,37857
756,37857
756,37857
760,37857
760,37857
